[2025-08-14T07:59:15.194Z] search-mcp-server starting; bridge ws://127.0.0.1:17389
[2025-08-14T08:00:05.101Z] search-mcp-server starting; bridge ws://127.0.0.1:17389
[2025-08-14T08:00:59.960Z] search-mcp-server starting; bridge ws://127.0.0.1:17389
[2025-08-14T08:01:06.658Z] search-mcp-server starting; bridge ws://127.0.0.1:17389
[2025-08-14T08:01:31.480Z] search-mcp-server starting; bridge ws://127.0.0.1:17389
[2025-08-14T08:01:52.285Z] search-mcp-server starting; bridge ws://127.0.0.1:17389
[2025-08-14T08:01:59.624Z] search-mcp-server starting; bridge ws://127.0.0.1:17389
[2025-08-14T08:04:47.822Z] search-mcp-server starting; bridge ws://127.0.0.1:17389
[2025-08-14T08:26:11.743Z] search-mcp-server starting; bridge ws://127.0.0.1:17389
[2025-08-14T08:26:16.449Z] search-mcp-server starting; bridge ws://127.0.0.1:17389
[2025-08-14T08:26:26.152Z] search-mcp-server starting; bridge ws://127.0.0.1:17389
[2025-08-14T08:26:31.049Z] search-mcp-server starting; bridge ws://127.0.0.1:17389
[2025-08-14T08:28:49.259Z] search-mcp-server starting; bridge ws://127.0.0.1:17389
[2025-08-14T08:28:59.391Z] search-mcp-server starting; bridge ws://127.0.0.1:17389
[2025-08-14T09:03:18.144Z] search-mcp-server starting; bridge ws://127.0.0.1:17389
[2025-08-14T09:04:23.904Z] search-mcp-server starting; bridge ws://127.0.0.1:17389
[2025-08-14T09:04:38.145Z] search-mcp-server starting; bridge ws://127.0.0.1:17389
[2025-08-14T09:12:39.118Z] search-mcp-server starting; bridge ws://127.0.0.1:17389
[2025-08-14T09:15:16.694Z] search-mcp-server starting; bridge ws://127.0.0.1:17389
[2025-08-14T09:15:25.672Z] search-mcp-server starting; bridge ws://127.0.0.1:17389
[2025-08-14T09:16:51.904Z] search-mcp-server starting; bridge ws://127.0.0.1:17389
[2025-08-14T09:17:00.619Z] search-mcp-server starting; bridge ws://127.0.0.1:17389
[2025-08-14T09:17:23.559Z] search-mcp-server starting; bridge ws://127.0.0.1:17389
[2025-08-14T09:18:35.210Z] search-mcp-server starting; bridge ws://127.0.0.1:17389
[2025-08-14T09:18:41.163Z] search-mcp-server starting; bridge ws://127.0.0.1:17389
[2025-08-14T09:21:56.120Z] search-mcp-server starting; bridge ws://127.0.0.1:17389
[2025-08-14T09:24:08.263Z] search-mcp-server starting; bridge ws://127.0.0.1:17389
[2025-08-14T09:24:14.627Z] search-mcp-server starting; bridge ws://127.0.0.1:17389
[2025-08-14T09:25:31.993Z] search-mcp-server starting; bridge ws://127.0.0.1:17389
[2025-08-14T09:25:35.763Z] search-mcp-server starting; bridge ws://127.0.0.1:17389
[2025-08-14T09:26:05.773Z] search-mcp-server starting; bridge ws://127.0.0.1:17389
[2025-08-14T09:27:04.538Z] search-mcp-server starting; bridge ws://127.0.0.1:17389
[2025-08-14T09:27:20.291Z] search-mcp-server starting; bridge ws://127.0.0.1:17389
[2025-08-14T09:27:23.088Z] search-mcp-server starting; bridge ws://127.0.0.1:17389
[2025-08-14T09:27:27.293Z] search-mcp-server starting; bridge ws://127.0.0.1:17389
[2025-08-14T09:29:12.309Z] search-mcp-server starting; bridge ws://127.0.0.1:17389
[2025-08-14T09:29:19.011Z] search-mcp-server starting; bridge ws://127.0.0.1:17389
[2025-08-14T09:32:56.517Z] search-mcp-server v0.1.1-visit-shape starting; bridge ws://127.0.0.1:17389
